ID,SKU,"GTIN, UPC",Name,Description,In stock?,Weight (lbs),Sale price,Regular price,Images,product_page_url,Meta: product meta description (google),Meta: _wc_gla_mpn,Meta: _wc_gla_brand,Meta: _wc_gla_condition
222,B417TX,850026795240,2.5lb Fire Extinguisher - Amerex B417TX ABC Multi Purpose w/ Vehicle Bracket,"ABC or Multi-Purpose extinguishers are an essential safety tool, utilizing a specially treated, siliconized mono ammonium phosphate dry chemical. This versatile extinguisher is designed to tackle Class A, B, and C fires. It provides chemical insulation for Class A fires by melting at approximately 350°F, forming a protective coating on surfaces. For Class B fires, it smothers and disrupts the chemical chain reaction, while its non-conductive properties ensure safe use around electrical equipment.
\n
\n<strong>Key features include:</strong>
\n<ul>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>All Fire extinguishers come with a 6 Year Manufacturer's Warranty.</b></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Certification Tag is available and is an extra fee.</b></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Durable Construction: Dependable steel cylinder with all-metal valve construction</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Convenient Design: Includes a vehicle bracket for easy mounting</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Our most popular model—no home should be without one</span></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Certification tags are required for Commercial / Insurance compliance (Call Tesla Fire office for pricing).</span></li>
\n</ul>
\n<!--EndFragment -->",in_stock,5.5,$70.65,$84.50,https://teslafiresystems.com/wp-content/uploads/2025/01/ABC_B417.webp,https://teslafiresystems.com/product/2-5-lb-fire-extinguisher-amerex-b417-abc-multi-purpose/,"Low Prices - 2.5lb Fire Extinguisher - Amerex B417 ABC Multi-Purpose. Versatile for Class A, B, and C fires. Includes vehicle bracket.",,,
229,B500X,850026795134,5 lb Fire Extinguisher - Amerex B500 ABC Multi-Purpose w/ Wall Bracket,"ABC or Multi-Purpose extinguishers are a reliable and versatile solution for fire safety. They utilize a specially fluidized and siliconized mono ammonium phosphate dry chemical that melts at approximately 350°F, forming a protective coating to insulate against Class A fires. For Class B fires, it smothers and disrupts the chemical chain reaction, and its non-conductive properties ensure safe use around electrical equipment, making it effective for Class C fires as well.
\n
\n<strong>Key features include:</strong>
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li><strong>All Fire extinguishers come with a 6 Year Manufacturer's Warranty.</strong></li>
\n 	<li><strong>Certification Tag is available and is an extra fee.</strong></li>
\n 	<li>U/L Rating: 3A:10BC</li>
\n 	<li>Durable Construction: Dependable steel cylinder with all-metal valve construction</li>
\n 	<li>Convenient Design: Includes a wall bracket for easy mounting</li>
\n 	<li>This versatile extinguisher is designed to combat Class A, B, and C fires—an essential safety tool for any home or workplace!</li>
\n 	<li>Certification tags are required for Commercial / Insurance compliance (Call Tesla Fire office for pricing).</li>
\n</ul>
\n</li>
\n</ul>",in_stock,9.25,$75.50,$89.00,https://teslafiresystems.com/wp-content/uploads/2025/01/b500.png,https://teslafiresystems.com/product/5-lb-fire-extinguisher-amerex-b500-abc-multi-purpose/,"Low Prices - Amerex B500 ABC Multi-Purpose. Effective for Class A, B, and C fires. Includes wall bracket.",,,
230,B456X,850026795028,10 lb Fire Extinguisher - Amerex B456 ABC Multi-Purpose,"ABC or Multi-Purpose extinguishers are a dependable and versatile solution for fire safety, designed to combat Class A, B, and C fires. They utilize a specially fluidized and siliconized mono ammonium phosphate dry chemical that melts at approximately 350°F, forming a protective coating to insulate against Class A fires. For Class B fires, it breaks the chemical chain reaction, while its non-conductive properties ensure safe use around electrical equipment, making it effective for Class C fires.
\n
\n<strong>Key features include:</strong>
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>All Fire extinguishers come with a 6 Year Manufacturer's Warranty.</b></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Certification Tag is available and is an extra fee.</b></li>
\n 	<li>CAN/ULC Rating: 6A:80BC</li>
\n 	<li>Meets Standards: Exceeds Ministry of Labor requirements for construction sites</li>
\n 	<li>Durable Construction: Dependable steel cylinder with all-metal valve construction</li>
\n 	<li>Convenient Design: Includes a wall bracket for easy mounting</li>
\n 	<li>This extinguisher combines reliability with superior performance, making it an essential tool for safety in any setting!</li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Certification tags are required for Commercial / Insurance compliance (Call Tesla Fire office for pricing).</span></li>
\n</ul>
\n</li>
\n</ul>",in_stock,18,$113.50,$145.00,https://teslafiresystems.com/wp-content/uploads/2025/01/3.-10-lb-Fire-Extinguisher-Amerex-B456-ABC-Multi-Purpose.jpg,https://teslafiresystems.com/product/10-lb-fire-extinguisher-amerex-b456-abc-multi-purpose/,"Low Prices - 10 lb Fire Extinguisher - Amerex B456 ABC. Reliable for Class A, B, and C fires. Order today!",,,
233,B402TXC,850026795257,5lb Fire Extinguisher - Amerex B402TXC ABC Multi-Purpose - Chrome,"The Amerex 5 lb. Multi-Purpose ABC Fire Extinguisher Chrome B402TC is a reliable and durable fire safety solution. It features an aluminum valve with a light- to medium-duty anodized aluminum valve body, along with an anodized aluminum handle and lever for enhanced durability.
\n
\nDesigned for long-lasting performance, the extinguisher is coated with a high-gloss polyester powder paint and constructed with dependable drawn-steel cylinders. Its stored pressure design ensures consistent performance, while bilingual labels make it user-friendly for a diverse audience.
\n
\nThis extinguisher provides exceptional fire protection:
\n<ul>
\n 	<li>Class A Fires: Chemically insulates by melting at approximately 350°F and coating affected surfaces.</li>
\n 	<li>Class B Fires: Smothers and disrupts the chemical chain reaction.</li>
\n 	<li>Class C Fires: Non-conductive, ensuring safe use around electrical equipment.</li>
\n</ul>
\n<strong>Key Features:</strong>
\n<ul>
\n 	<li><strong>All Fire extinguishers sold by Tesla Fire Systems Inc. come inspected and fully certified for 1 year.</strong></li>
\n 	<li>All-metal valve construction</li>
\n 	<li>Durable high-gloss polyester powder paint</li>
\n 	<li>Dependable steel cylinder design</li>
\n 	<li>Includes vehicle bracket (Model 818) for convenient mounting</li>
\n 	<li>The Amerex B402TC is a versatile and dependable extinguisher, ideal for a wide range of fire safety needs.</li>
\n</ul>",in_stock,9.5,$271.80,$499.00,https://teslafiresystems.com/wp-content/uploads/2025/01/5lb-Chrome-Fire-Extinguisher-Amerex-B402-ABC-Multi-Purpose.jpg,https://teslafiresystems.com/product/5lb-chrome-fire-extinguisher-amerex-b402-abc-multi-purpose/,"Low Prices - 5lb Chrome Fire Extinguisher - Amerex B402TXC ABC. Durable, high-gloss finish, bilingual labels.",,,
235,C260X,850026795066,6 Litre Fire Extinguisher - Amerex C260X Type K Wet Chemical,"The Model C260 Wet Chemical extinguisher is the ultimate solution for restaurant kitchen fire safety. Specifically designed and UL-listed for Class K fires, it excels at tackling the challenges of modern cooking appliances and vegetable-based cooking oils. This extinguisher is highly effective in extinguishing oil, grease, and chemical fires.
\n
\nWith a 6-liter capacity, the Model C260 features a durable stainless steel cylinder, an all-metal valve construction, and an easy-to-use hose with a spray nozzle for precise application. The potassium acetate-based Wet Chemical agent quickly cools high-temperature fires, reduces the risk of re-ignition, and leaves no chemical residue to clean up.
\n
\n<strong>Key features include:</strong>
\n<ul>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>All Fire extinguishers come with a 6 Year Manufacturer's Warranty.</b></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Certification Tag is available and is an extra fee.</b></li>
\n 	<li>CAN/ULC Rating: 2A:K</li>
\n 	<li>Durable Construction: Dependable steel cylinder and all-metal valve construction</li>
\n 	<li>Convenient Design: Comes with a wall bracket for easy mounting</li>
\n 	<li>The Model C260 also supplements existing automatic fire suppression systems, offering an additional layer of safety and protection. It's an essential addition to any commercial kitchen, ensuring reliable fire safety and peace of mind.</li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Certification tags are required for Commercial / Insurance compliance (Call Tesla Fire office for pricing).</span></li>
\n</ul>",in_stock,16,$285.00,$320.00,https://teslafiresystems.com/wp-content/uploads/2025/01/c260.png,https://teslafiresystems.com/product/6-litre-fire-extinguisher-amerex-c260-type-k-wet-chemical/,"Low Prices - 6L Amerex B260 Type K Wet Chemical ? Ideal for Class K kitchen fires. Durable, effective.",,,
241,B402X,850026795011,5lb Fire Extinguisher - Amerex B402X ABC Multi-Purpose,"The ABC or Multi-Purpose extinguisher is designed for commercial use, including applications such as buses and forklifts. It contains a specially treated, siliconized mono ammonium phosphate dry chemical that melts at approximately 350°F, forming a protective coating to insulate against Class A fires. It effectively smothers Class B fires by disrupting the chemical chain reaction and is non-conductive, ensuring safety when used around electrical equipment.
\n
\nThis extinguisher is ideal for tackling Class A, B, and C fires and features a dependable steel cylinder, all-metal valve construction, and comes with a marine bracket for easy mounting.
\n
\n<strong>Key Features:</strong>
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>All Fire extinguishers come with a 6 Year Manufacturer's Warranty.</b></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Certification Tag is available and is an extra fee.</b></li>
\n 	<li>Regular Dry Chemical, 5lb Unit</li>
\n 	<li>U/L Rating: 3A 40B:C</li>
\n 	<li>Dimensions: Height: 15.25"", Width: 5.5"", Diameter: 4.5""</li>
\n 	<li>Durable Construction: Dependable steel cylinder with all-metal valve construction</li>
\n 	<li>A versatile and reliable fire safety tool, perfect for commercial environments requiring robust protection.</li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Certification tags are required for Commercial / Insurance compliance (Call Tesla Fire office for pricing).</span></li>
\n</ul>
\n</li>
\n</ul>",in_stock,9.5,$83.30,$103.00,https://teslafiresystems.com/wp-content/uploads/2025/01/7.-5lb-Fire-Extinguisher-Amerex-B402-ABC-Multi-Purpose.jpg,https://teslafiresystems.com/product/5lb-fire-extinguisher-amerex-b402-abc-multi-purpose/,"Low Prices - 5lb Fire Extinguisher - Amerex B402 ABC Multi-Purpose. Ideal for Class A, B &amp; C fires.",,,
244,B417TXC,850026795172,2.5lb Chrome Fire Extinguisher - Amerex B417TXC ABC Multi-Purpose,"Designed for marinas and pool areas, this extinguisher is a reliable choice for fire safety in outdoor environments. Featuring dependable drawn steel cylinders and all-metal valve construction, it ensures long-lasting durability with minimal maintenance.
\n
\nThis extinguisher is an economical option that meets UL and U.S. Coast Guard standards, making it ideal for marine and recreational areas. It also comes with bar-coded and bilingual labels, ensuring ease of use and compliance.
\n
\n<strong>Key Features:</strong>
\n<ul>
\n 	<li style=""list-style-type: none"">
\n<ul>
\n 	<li><strong>All Fire extinguishers sold by Tesla Fire Systems Inc. come inspected and fully certified for 1 year.</strong></li>
\n 	<li>CAN/ULC Rating: 1A:10BC</li>
\n 	<li>Durable Construction: Reliable drawn steel cylinders with all-metal valve construction</li>
\n 	<li>Maintenance: Trouble-free upkeep</li>
\n 	<li>Listings: UL and U.S. Coast Guard approved</li>
\n 	<li>Convenience: Bar-coded and bilingual labels for user-friendliness</li>
\n</ul>
\n</li>
\n</ul>
\n<ul>
\n 	<li>A dependable and cost-effective solution for marina and pool area fire safety.</li>
\n</ul>",in_stock,5.5,$264.80,$290.00,https://teslafiresystems.com/wp-content/uploads/2025/01/2.5lb-Chrome-Fire-Extinguisher-Amerex-B403TX-ABC-Multi-Purpose.jpg,https://teslafiresystems.com/product/2-5lb-chrome-fire-extinguisher-amerex-b417txc-abc-multi-purpose/,"Low Prices - 2.5lb Chrome Fire Extinguisher - Amerex B402TXC ABC. Durable, high-gloss finish, bilingual labels.",,,
246,322X,850026795202,5lb Fire Extinguisher - Amerex 322 Carbon Dioxide,"The Carbon Dioxide extinguisher is an effective solution for fighting Class B and Class C fires, including flammable liquids and electrically non-conductive fires. It releases CO2 as a white cloud of ""snow,"" suffocating the fire by displacing oxygen. This clean, odorless gas leaves no residue, making it ideal for use in sensitive environments like automobiles, computer rooms, and areas with electrical equipment.
\n
\n<strong>Key Features:</strong>
\n<ul>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>All Fire extinguishers come with a 6 Year Manufacturer's Warranty.</b></li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><b>Certification Tag is available and is an extra fee.</b></li>
\n 	<li>U/L Rating: 5B:C</li>
\n 	<li>Durable Construction: Dependable steel cylinder with all-metal valve construction</li>
\n 	<li>Convenient Design: Comes with a wall bracket for easy mounting</li>
\n 	<li>Dimensions: Height: 17.75"", Width: 8.25"", Diameter: 5.25""</li>
\n 	<li>A reliable and residue-free solution for fires involving flammable liquids and electrical equipment.</li>
\n 	<li style=""font-weight: 400;"" aria-level=""1""><span style=""font-weight: 400;"">Certification tags are required for Commercial / Insurance compliance (Call Tesla Fire office for pricing).</span></li>
\n</ul>",in_stock,14,$265.00,$280.00,https://teslafiresystems.com/wp-content/uploads/2025/01/9.-5lb-Fire-Extinguisher-Amerex-322-Carbon-Dioxide.jpg,https://teslafiresystems.com/product/5lb-fire-extinguisher-amerex-322-carbon-dioxide/,"Low Prices - Amerex 322 5lb CO2 Fire Extinguisher for Class B &amp; C fires. Residue-free, ideal for sensitive areas.",,,
248,330X,850026795301,10lb Fire Extinguisher - Amerex 330 Carbon Dioxide,"The Carbon Dioxide extinguisher releases a white cloud of ""snow"" that extinguishes fires by removing oxygen. It is highly effective against Class B flammable liquids and Class C electrical fires, and its non-conductive properties make it safe for use around sensitive equipment like automobiles, computer rooms, and electrical devices. As a clean, odorless gas, it leaves no residue or contamination behind.
\n
\n<strong>Key Features:</strong>
\n<ul>
\n 	<li style=""list-style-type: none;"">
\n<ul>
\n 	<li><strong>All Fire extinguishers sold by Tesla Fire Systems Inc. come inspected and fully certified for 1 year.</strong></li>
\n 	<li>CAN/ULC Rating: 5BC</li>
\n 	<li>Durable Construction: Dependable steel cylinder with all-metal valve construction</li>
\n 	<li>Convenient Design: Comes with a wall bracket for easy mounting</li>
\n</ul>
\n</li>
\n</ul>
\n<ul>
\n 	<li>This CO2 extinguisher provides reliable fire suppression for flammable liquids and electrical fires, making it ideal for sensitive environments.</li>
\n</ul>",in_stock,28.5,$333.65,$480.00,https://teslafiresystems.com/wp-content/uploads/2025/01/10.-10lb-Fire-Extinguisher-Amerex-330-Carbon-Dioxide.jpg,https://teslafiresystems.com/product/10lb-fire-extinguisher-amerex-330-carbon-dioxide/,"Low Prices - 10lb Amerex 330 CO2 Fire Extinguisher, 5BC rated for Class B &amp; C fires. Non-conductive, residue-free.",,,
250,B570,850026795073,30 lb Model B570 Class D Fire Extinguisher,"The MODEL B570 Class D Fire Extinguisher is equipped with a specially blended Sodium Chloride-based dry powder extinguishing agent. When exposed to heat, it forms a crust that excludes air and dissipates heat, effectively extinguishing metal fires. This extinguisher is ideal for fires involving magnesium, sodium, potassium, and sodium-potassium alloys, and is proven to control and extinguish fires involving zirconium, uranium, titanium, and powdered aluminum.
\n
\n<strong>Key Features:</strong>
\n<ul>
\n 	<li><strong>All Fire extinguishers sold by Tesla Fire Systems Inc. can be fully certified for 1 year.</strong></li>
\n 	<li>Rugged Design: Dependable drawn steel cylinders with corrosion-resistant yellow Class D color-coded paint finish</li>
\n 	<li>Stored Pressure Design: Ensures reliable performance</li>
\n 	<li>Temperature Range: Operates between -40°F to 120°F</li>
\n 	<li>6-Year Warranty: Built for long-lasting durability</li>
\n 	<li>All-Metal Valve Construction: Ensures robust functionality</li>
\n</ul>
\nThe Amerex ""soft flow"" extension applicator is designed specifically for Class D fires, keeping the operator away from extreme heat and toxic fumes. It provides a controlled, even discharge of the agent, ensuring precise application. The applicator can be quickly detached for a straight stream, perfect for greater range or narrow discharge patterns.",in_stock,53,"$1,395.00","$1,400.00",https://teslafiresystems.com/wp-content/uploads/2025/01/14.-Model-B570-30LBS-Class-D-Fire-Extinguisher.jpg,https://teslafiresystems.com/product/model-b570-30lbs-class-d-fire-extinguisher/,"Low Prices - 30lb Amerex B570 Class D Fire Extinguisher for metal fires. Durable design, 6-year warranty",,,
